CO(GT),NOx(GT),Time,T
0.4,24.0,04,24.0
0.5,55.0,05,24.0
0.7,47.0,06,23.7
3.2,209.0,07,23.6
5.6,348.0,08,25.5
4.6,337.0,09,28.5
3.3,280.0,10,32.6
2.1,169.0,11,36.3
1.9,126.0,12,37.5
1.9,108.0,13,39.6
1.6,93.0,14,40.1
2.0,112.0,15,40.4
1.8,110.0,16,39.9
2.9,188.0,17,39.1
3.4,203.0,18,37.0
3.1,167.0,19,33.9
2.5,116.0,20,31.9
1.8,89.0,21,29.7
1.8,103.0,22,28.6
2.0,100.0,23,27.8
1.5,86.0,00,27.8
0.8,52.0,01,27.5
0.4,27.0,02,27.3
0.5,42.0,05,25.9
0.7,57.0,06,25.3
3.4,228.0,07,24.7
5.7,350.0,08,27.1
3.2,232.0,09,28.3
2.7,206.0,10,32.4
2.1,159.0,11,35.4
2.8,184.0,12,35.5
2.5,136.0,13,37.8
2.1,124.0,14,37.2
2.5,133.0,15,37.2
2.7,156.0,16,38.0
3.7,200.0,17,37.1
3.7,202.0,18,36.9
4.6,286.0,19,34.7
2.6,141.0,20,31.9
2.5,117.0,21,30.5
2.3,110.0,22,29.3
2.2,100.0,23,28.2
2.5,112.0,00,27.3
0.9,35.0,01,26.8
0.8,33.0,02,26.0
0.5,28.0,04,26.9
0.7,49.0,05,24.6
0.9,81.0,06,26.4
2.2,178.0,07,27.3
2.8,223.0,08,28.4
2.9,290.0,09,30.8
2.9,274.0,10,34.2
3.0,278.0,11,37.0
2.5,152.0,12,36.6
2.3,118.0,13,36.9
2.1,141.0,14,39.3
1.9,131.0,15,38.5
2.3,171.0,16,39.7
4.2,287.0,17,38.8
4.9,267.0,18,33.5
4.9,280.0,19,34.0
3.5,224.0,20,31.9
2.5,137.0,21,30.2
2.5,118.0,22,28.9
2.6,128.0,23,27.8
2.3,111.0,00,27.1
1.5,66.0,01,26.2
0.9,36.0,02,26.9
0.6,31.0,04,24.9
0.8,75.0,05,23.4
0.9,66.0,06,24.4
2.4,154.0,07,25.1
3.9,239.0,08,26.6
2.9,246.0,09,28.2
2.7,261.0,10,31.6
2.0,179.0,11,34.2
2.4,159.0,12,36.6
2.0,111.0,13,37.6
1.8,101.0,14,38.1
1.9,118.0,15,37.8
1.8,120.0,16,37.8
2.9,177.0,17,36.9
3.3,186.0,18,34.5
4.4,235.0,19,32.5
3.4,195.0,20,30.9
1.9,106.0,21,28.7
2.1,107.0,22,27.7
2.5,134.0,23,26.8
2.3,117.0,00,26.1
1.7,83.0,01,25.9
1.5,77.0,02,25.3
0.5,50.0,05,25.1
0.8,60.0,06,24.8
2.6,179.0,07,25.7
4.9,300.0,08,27.4
2.9,263.0,09,29.3
2.8,265.0,10,33.6
1.8,164.0,11,34.6
1.8,122.0,12,35.6
1.9,125.0,13,36.9
1.7,125.0,14,38.8
1.7,115.0,15,38.1
1.9,162.0,16,37.1
2.1,149.0,17,34.8
2.4,161.0,18,33.6
3.0,201.0,19,31.4
2.8,209.0,20,29.5
1.9,133.0,21,27.4
2.1,133.0,22,26.1
1.8,134.0,23,25.5
2.5,164.0,00,24.0
1.1,72.0,01,24.2
0.7,50.0,02,23.4
0.4,27.0,04,22.6
0.7,74.0,05,20.2
0.7,69.0,06,20.5
1.8,162.0,07,21.4
2.3,208.0,08,23.2
1.9,168.0,09,25.3
1.7,139.0,10,29.9
1.3,104.0,11,33.9
1.5,99.0,12,36.3
1.3,89.0,13,36.6
0.8,57.0,14,37.4
0.8,64.0,15,37.9
1.1,65.0,16,38.0
1.2,79.0,17,36.9
1.2,80.0,18,35.3
1.4,81.0,19,31.9
1.1,59.0,20,29.1
1.5,90.0,21,27.4
2.0,122.0,22,26.7
1.9,120.0,23,25.2
2.2,126.0,00,24.0
1.1,68.0,01,24.5
1.1,65.0,02,22.6
0.6,38.0,04,21.2
0.6,31.0,05,20.3
0.6,40.0,06,21.3
0.6,36.0,07,23.0
1.1,64.0,08,23.7
1.0,56.0,09,25.4
1.0,56.0,10,29.6
1.0,43.0,11,33.9
0.8,40.0,12,35.8
0.7,34.0,13,37.9
0.4,28.0,14,38.5
0.5,32.0,15,39.3
0.6,39.0,16,38.9
0.7,52.0,17,37.9
0.9,60.0,18,35.8
1.6,104.0,19,32.3
1.6,102.0,20,30.1
1.7,120.0,21,28.2
1.3,89.0,22,26.0
1.9,121.0,23,25.3
1.5,107.0,00,24.7
0.6,41.0,01,25.5
0.4,34.0,02,22.5
0.4,38.0,05,21.6
0.7,59.0,06,21.1
2.0,165.0,07,21.6
3.9,287.0,08,23.7
3.6,317.0,09,26.0
3.2,330.0,10,30.6
2.2,204.0,11,34.1
2.2,189.0,12,36.2
2.1,165.0,13,37.4
1.8,139.0,14,39.5
2.0,156.0,15,40.4
1.8,130.0,16,40.1
3.0,173.0,17,39.3
4.3,302.0,18,37.3
3.5,239.0,19,33.6
2.5,139.0,20,30.7
1.8,92.0,21,28.8
1.9,104.0,22,27.3
1.9,108.0,23,26.2
1.9,107.0,00,25.4
0.9,55.0,01,25.8
0.7,43.0,02,23.3
0.4,23.0,04,23.5
0.7,65.0,05,21.8
1.6,165.0,06,21.8
3.8,274.0,07,22.9
5.1,369.0,08,24.9
3.4,308.0,09,26.7
2.6,227.0,10,30.5
2.2,178.0,11,34.2
3.4,267.0,12,38.2
3.4,278.0,13,39.6
1.8,165.0,14,39.9
2.0,172.0,15,40.2
2.4,216.0,16,39.6
3.8,306.0,17,39.5
4.4,317.0,18,37.9
3.9,251.0,19,34.2
4.0,230.0,20,32.6
2.5,154.0,21,30.4
2.1,137.0,22,28.8
2.4,133.0,23,27.8
2.1,117.0,00,26.9
1.6,106.0,01,26.3
0.8,55.0,02,25.7
0.4,27.0,04,25.5
0.5,46.0,05,24.0
1.3,144.0,06,23.9
4.1,392.0,07,24.8
4.1,358.0,08,26.9
4.0,381.0,09,29.6
2.2,261.0,10,34.6
2.0,207.0,11,38.3
2.0,155.0,12,40.4
2.2,193.0,13,42.6
2.2,195.0,14,42.5
1.8,159.0,15,41.0
1.8,120.0,16,41.3
3.3,228.0,17,39.2
4.3,348.0,18,36.9
5.3,337.0,19,35.6
4.3,282.0,20,33.7
3.6,228.0,21,31.5
2.4,168.0,22,31.1
2.1,173.0,23,30.2
1.2,87.0,00,29.8
0.9,65.0,01,28.4
0.6,43.0,02,27.5
0.6,66.0,05,25.6
0.6,57.0,06,27.5
2.2,231.0,07,25.9
3.2,219.0,08,28.5
3.0,288.0,09,29.5
2.7,312.0,10,29.8
3.2,361.0,11,33.4
1.4,147.0,12,40.3
1.3,111.0,13,41.8
1.4,98.0,14,41.1
2.1,156.0,15,41.9
2.4,213.0,16,40.9
3.1,250.0,17,39.1
3.5,253.0,18,36.4
5.1,317.0,19,34.9
4.5,309.0,20,33.6
2.9,201.0,21,32.2
2.6,173.0,22,30.5
2.7,156.0,23,29.4
3.2,190.0,00,29.1
2.3,129.0,01,27.7
1.0,65.0,02,27.9
0.4,29.0,04,27.4
0.6,58.0,05,26.6
1.0,92.0,06,26.9
2.9,228.0,07,27.0
2.7,172.0,08,27.0
1.8,154.0,09,27.4
1.8,166.0,10,30.5
1.7,149.0,11,32.9
1.5,111.0,12,33.9
1.7,145.0,13,34.4
1.3,105.0,14,34.2
1.5,113.0,15,33.2
1.5,115.0,16,32.4
2.3,202.0,17,32.2
2.2,180.0,18,31.0
2.8,190.0,19,28.3
2.7,207.0,20,26.6
1.7,113.0,21,24.8
1.5,98.0,22,23.7
2.3,152.0,23,23.0
2.3,161.0,00,22.7
1.5,91.0,01,22.2
1.0,57.0,02,21.6
0.3,22.0,04,22.4
0.4,41.0,05,21.7
0.5,53.0,06,21.1
0.9,92.0,07,22.0
1.1,91.0,08,25.0
1.4,89.0,09,26.7
1.1,81.0,10,29.1
0.9,66.0,11,31.2
0.8,53.0,12,32.4
0.8,61.0,13,33.3
0.6,48.0,14,33.1
0.6,39.0,15,33.1
0.5,41.0,16,32.4
0.7,48.0,17,31.8
0.8,50.0,18,30.3
0.9,51.0,19,27.2
1.3,70.0,20,26.1
1.3,89.0,21,24.7
1.4,100.0,22,23.4
1.9,139.0,23,23.1
2.3,176.0,00,22.7
1.0,71.0,01,21.6
0.5,37.0,02,22.0
0.4,30.0,04,20.6
0.3,29.0,05,20.6
0.2,25.0,06,21.3
0.4,40.0,07,20.4
0.3,32.0,08,23.5
0.6,43.0,09,25.7
0.6,44.0,10,27.9
0.6,35.0,11,29.0
0.5,32.0,12,29.5
0.4,21.0,13,31.8
0.2,10.0,14,32.2
0.4,22.0,15,32.4
0.6,46.0,16,33.0
0.9,66.0,17,32.0
0.7,49.0,18,29.6
1.2,86.0,19,26.9
1.6,111.0,20,25.3
1.8,143.0,21,24.2
2.4,184.0,22,23.2
1.5,134.0,23,22.7
0.9,78.0,00,21.6
0.8,50.0,01,20.7
0.2,13.0,02,21.2
0.5,43.0,05,20.0
1.4,146.0,06,18.5
3.3,333.0,07,19.6
3.6,298.0,08,21.3
1.7,178.0,09,21.7
1.5,177.0,10,23.4
1.6,172.0,11,25.7
2.1,183.0,12,28.5
2.1,164.0,13,27.0
1.6,122.0,14,24.2
1.3,105.0,15,26.0
1.6,144.0,16,24.8
3.1,220.0,17,24.0
3.3,207.0,18,23.6
3.4,210.0,19,23.6
2.8,175.0,20,23.3
1.5,117.0,21,22.5
1.3,93.0,22,21.3
1.6,118.0,23,20.9
1.5,132.0,00,19.8
1.0,88.0,01,19.3
0.5,43.0,02,18.4
0.6,44.0,04,16.3
0.7,50.0,05,16.6
1.3,101.0,06,16.2
4.0,339.0,07,17.3
5.0,379.0,08,19.2
3.6,321.0,09,21.7
2.8,272.0,10,26.4
2.6,278.0,11,31.3
2.7,253.0,12,33.7
2.3,187.0,13,34.5
2.0,149.0,14,33.8
1.3,89.0,15,30.1
1.7,124.0,16,28.3
2.8,206.0,17,31.9
3.8,241.0,18,32.0
4.9,303.0,19,28.9
4.3,294.0,20,27.3
2.6,203.0,21,26.0
2.4,176.0,22,25.2
1.9,155.0,23,24.3
1.4,108.0,00,23.6
1.1,72.0,01,23.0
0.9,65.0,02,22.2
0.5,39.0,04,20.5
0.8,79.0,05,18.8
1.3,140.0,06,18.8
4.7,427.0,07,19.9
4.6,366.0,08,22.1
3.7,311.0,09,24.0
2.8,275.0,10,30.2
1.8,195.0,11,33.4
1.9,144.0,12,35.1
2.0,162.0,13,34.1
2.0,200.0,14,35.7
2.1,176.0,15,35.3
2.1,203.0,16,32.3
3.2,237.0,17,36.0
4.0,263.0,18,35.8
4.6,300.0,19,32.3
3.0,189.0,20,29.7
2.9,185.0,21,27.8
1.9,134.0,22,26.3
1.4,96.0,23,25.3
2.1,122.0,00,24.0
1.2,64.0,01,23.4
0.6,30.0,02,23.5
0.4,36.0,05,21.4
0.7,58.0,06,21.1
2.3,168.0,07,21.3
4.0,306.0,08,22.9
2.8,231.0,09,24.4
1.6,157.0,10,27.6
1.6,132.0,11,31.1
2.0,136.0,12,33.4
2.0,127.0,13,35.7
1.7,125.0,14,36.2
2.0,138.0,15,37.1
2.2,163.0,16,36.5
3.2,259.0,17,35.5
3.6,236.0,18,33.7
3.8,245.0,19,30.5
4.8,344.0,20,28.7
2.8,188.0,21,26.7
2.6,149.0,22,25.7
1.9,102.0,23,24.5
1.7,99.0,00,24.3
1.0,48.0,01,23.8
0.7,36.0,02,23.7
0.4,30.0,04,21.6
0.6,56.0,05,20.3
0.7,51.0,06,20.7
2.4,172.0,07,20.5
4.4,316.0,08,22.4
3.1,269.0,09,24.2
2.0,196.0,10,28.8
2.1,206.0,11,32.8
2.1,156.0,12,34.4
2.1,120.0,13,36.5
2.2,161.0,14,37.5
1.6,114.0,15,38.0
2.4,191.0,16,38.1
3.3,236.0,17,37.3
4.0,287.0,18,35.9
4.1,266.0,19,32.4
4.2,274.0,20,30.3
2.9,196.0,21,28.5
2.3,144.0,22,26.9
2.2,142.0,23,25.7
2.1,124.0,00,24.7
1.6,93.0,01,23.6
1.2,71.0,02,22.2
0.9,56.0,04,21.3
0.6,46.0,05,21.6
0.7,51.0,06,21.3
1.3,83.0,07,21.1
2.0,175.0,08,22.8
1.9,148.0,09,25.0
2.2,167.0,10,30.9
1.9,120.0,11,35.1
1.5,78.0,12,36.9
1.4,76.0,13,39.3
1.0,45.0,14,40.3
1.0,54.0,15,39.7
1.4,70.0,16,41.1
1.6,87.0,17,40.1
1.6,69.0,18,37.4
2.1,95.0,19,34.0
2.0,107.0,20,31.7
1.9,88.0,21,29.7
2.3,100.0,22,27.9
2.4,125.0,23,26.8
2.2,132.0,00,25.8
1.2,57.0,01,26.3
1.1,46.0,02,24.3
0.6,33.0,05,21.1
0.7,50.0,06,20.2
0.4,39.0,07,21.3
0.6,84.0,08,22.6
0.9,93.0,09,25.7
0.9,82.0,10,31.6
0.8,73.0,11,36.3
0.4,43.0,12,37.9
0.3,39.0,13,39.4
0.1,27.0,14,40.2
0.5,46.0,15,41.3
0.4,53.0,16,41.4
0.3,38.0,17,40.1
0.4,39.0,18,37.6
0.6,49.0,19,33.9
0.8,68.0,20,31.6
1.2,102.0,21,29.7
1.6,123.0,22,29.0
1.2,106.0,23,27.9
0.5,66.0,00,28.0
0.3,43.0,01,26.8
0.1,33.0,02,26.6
0.1,33.0,04,22.2
0.3,75.0,05,21.2
0.8,111.0,06,21.4
2.3,250.0,07,22.9
3.4,313.0,08,25.2
2.5,263.0,09,27.1
2.4,282.0,10,32.4
2.1,226.0,11,36.8
4.1,124.0,18,39.6
3.8,165.0,19,36.1
3.4,164.0,20,33.3
2.9,122.0,21,31.2
3.1,134.0,22,30.1
3.5,121.0,23,28.9
2.4,112.0,00,27.8
1.6,62.0,01,26.9
1.3,50.0,02,26.4
1.0,72.0,04,23.8
0.8,48.0,05,24.9
1.1,58.0,06,25.0
4.4,306.0,07,24.7
3.3,266.0,10,34.0
2.1,159.0,11,37.3
2.1,144.0,12,40.1
2.0,117.0,13,42.0
1.5,108.0,14,42.8
2.1,153.0,15,44.3
2.3,166.0,16,44.6
2.8,179.0,17,43.4
3.6,225.0,18,40.6
4.0,261.0,19,37.1
3.7,228.0,20,34.5
2.5,137.0,21,32.2
2.3,116.0,22,30.4
2.5,143.0,23,29.4
2.7,157.0,00,28.6
1.3,72.0,01,27.7
0.8,42.0,02,28.0
0.5,34.0,04,25.6
0.8,74.0,05,23.6
1.0,75.0,06,25.1
2.9,199.0,07,24.5
3.8,262.0,08,26.6
3.5,236.0,09,29.0
2.4,186.0,10,34.2
1.8,132.0,11,37.3
2.1,140.0,12,40.1
2.1,143.0,13,42.2
1.5,99.0,14,41.9
1.5,107.0,15,43.1
1.8,130.0,16,42.8
2.1,133.0,17,41.1
3.0,188.0,18,38.7
2.8,155.0,19,35.8
2.5,154.0,20,33.1
1.4,95.0,21,30.1
1.7,110.0,22,29.0
1.8,116.0,23,28.5
2.4,153.0,00,27.8
1.9,111.0,01,27.0
1.4,79.0,02,26.4
0.7,47.0,04,25.1
0.8,61.0,05,24.6
0.7,56.0,06,24.4
1.0,69.0,07,25.2
1.7,109.0,08,26.6
1.9,111.0,09,28.0
2.3,150.0,10,32.7
1.7,87.0,11,36.6
1.3,64.0,12,37.8
1.2,47.0,13,38.3
0.8,34.0,14,35.4
0.9,37.0,15,37.3
1.1,49.0,16,36.6
1.2,54.0,17,35.1
1.3,70.0,18,32.3
1.4,76.0,19,29.9
1.2,59.0,20,28.2
0.9,44.0,21,27.2
1.1,47.0,22,27.3
1.5,71.0,23,27.0
1.7,90.0,00,23.7
0.9,45.0,01,23.8
0.7,44.0,02,24.7
0.3,10.0,05,22.5
0.4,19.0,06,23.4
0.4,20.0,07,24.4
0.5,30.0,08,24.5
0.5,24.0,09,24.9
0.7,35.0,10,27.0
0.9,48.0,11,27.6
0.8,41.0,12,28.2
0.8,37.0,13,29.1
0.7,32.0,14,29.8
0.8,43.0,15,31.5
0.7,28.0,16,31.2
0.8,38.0,17,30.0
1.2,72.0,18,27.6
1.6,89.0,19,28.8
1.6,103.0,20,28.5
1.5,77.0,21,27.7
1.5,84.0,22,27.3
1.5,82.0,23,26.9
1.5,81.0,00,26.6
1.2,50.0,01,26.0
0.8,30.0,02,26.2
0.8,40.0,05,23.7
1.2,72.0,06,22.6
1.0,68.0,07,24.0
1.5,89.0,08,25.2
2.8,151.0,09,27.3
3.4,215.0,10,32.8
3.3,196.0,11,36.0
2.9,161.0,12,38.5
2.2,120.0,13,39.8
1.6,88.0,14,38.1
0.9,38.0,15,40.0
1.1,47.0,16,40.4
1.0,40.0,17,39.1
1.3,58.0,18,37.3
1.6,71.0,19,34.0
1.8,90.0,20,31.8
2.2,95.0,21,30.1
1.8,85.0,22,28.6
2.3,119.0,23,27.7
2.0,106.0,00,26.6
1.8,77.0,01,25.7
0.9,28.0,02,25.1
0.6,21.0,04,23.5
0.4,17.0,05,24.3
0.4,24.0,06,23.3
0.4,19.0,07,24.1
0.8,39.0,08,25.0
0.8,46.0,09,27.3
0.9,53.0,10,32.4
0.7,32.0,11,35.4
0.6,30.0,12,37.4
0.5,24.0,13,39.2
0.6,34.0,14,38.1
0.7,63.0,15,40.2
0.9,69.0,16,39.7
0.9,61.0,17,38.5
1.2,73.0,18,36.6
1.4,75.0,19,33.1
1.5,69.0,20,30.7
1.7,71.0,21,29.5
1.7,73.0,22,27.8
1.7,86.0,23,27.4
1.9,65.0,00,27.3
1.2,74.0,01,26.7
0.7,45.0,02,26.2
0.2,2.0,04,25.5
0.4,29.0,05,25.1
0.8,42.0,06,24.6
1.9,146.0,07,25.7
1.9,163.0,09,28.4
1.9,144.0,10,32.7
1.9,125.0,11,34.0
1.7,90.0,12,35.6
1.4,76.0,13,37.1
1.2,73.0,14,36.1
1.4,73.0,15,37.9
1.4,80.0,16,38.0
1.9,121.0,17,36.9
2.2,129.0,18,35.5
1.9,103.0,19,32.8
1.7,87.0,20,30.5
1.2,58.0,21,28.8
0.3,64.0,22,28.0
0.1,58.0,23,27.1
0.1,44.0,00,26.4
0.7,65.0,05,21.4
1.2,94.0,06,21.9
2.3,205.0,07,22.0
3.0,240.0,08,22.5
2.9,237.0,09,24.5
2.6,245.0,10,25.6
2.6,206.0,11,29.3
2.6,156.0,12,33.5
2.1,126.0,13,35.6
1.7,108.0,14,33.7
1.9,102.0,15,34.1
2.5,110.0,16,31.5
1.1,57.0,17,32.5
2.1,109.0,18,29.8
2.6,151.0,19,27.7
2.6,153.0,20,26.4
1.7,103.0,21,25.5
1.5,76.0,22,25.1
1.8,93.0,23,24.1
1.4,75.0,00,23.8
1.2,57.0,01,23.4
0.7,32.0,02,24.4
0.7,42.0,04,21.9
0.5,37.0,05,23.6
0.6,44.0,06,22.6
0.9,51.0,07,22.9
1.2,74.0,08,23.3
2.0,115.0,09,25.4
1.9,109.0,10,30.6
1.7,80.0,11,33.5
1.2,57.0,12,35.5
1.1,56.0,13,37.5
1.0,43.0,14,35.1
1.0,43.0,15,38.1
1.0,51.0,16,38.5
1.2,46.0,17,36.8
1.6,71.0,18,34.9
1.6,65.0,19,32.2
1.6,78.0,20,29.7
1.3,51.0,21,27.7
1.9,84.0,22,27.3
1.9,89.0,23,26.3
1.5,65.0,00,25.7
1.1,43.0,01,25.4
0.8,32.0,02,24.9
0.6,22.0,04,23.9
0.6,21.0,05,23.8
0.7,27.0,06,23.4
0.6,31.0,07,24.3
1.0,46.0,08,25.1
1.2,62.0,09,27.3
1.0,43.0,10,29.5
1.3,53.0,11,27.6
1.4,87.0,12,25.4
0.8,36.0,13,32.2
0.6,21.0,14,31.6
0.7,27.0,15,33.0
0.8,29.0,16,35.1
0.9,38.0,17,35.0
1.0,41.0,18,33.8
1.5,66.0,19,31.1
1.5,63.0,20,29.0
1.7,88.0,21,28.1
1.9,87.0,22,27.1
1.7,86.0,23,26.6
1.2,49.0,00,25.8
1.1,40.0,01,25.5
0.8,27.0,02,24.9
0.7,58.0,05,23.2
1.2,87.0,06,23.2
2.3,143.0,07,24.3
2.5,96.0,08,25.5
2.4,16.0,09,27.7
1.4,54.0,10,31.8
1.2,42.0,11,32.7
1.6,72.0,12,34.3
1.4,54.0,13,34.2
1.2,52.0,14,33.9
1.5,64.0,15,34.4
1.9,81.0,20,29.8
1.6,59.0,21,28.8
1.5,69.0,22,28.2
1.4,58.0,23,27.5
1.0,33.0,00,27.4
0.7,17.0,01,28.1
0.5,6.0,02,26.3
0.5,20.0,04,24.4
0.7,58.0,05,23.5
1.2,106.0,06,23.4
2.2,143.0,07,24.5
2.9,167.0,08,26.0
2.6,188.0,09,28.5
2.6,164.0,10,33.6
2.2,128.0,11,36.5
1.5,88.0,12,39.0
0.9,51.0,13,38.8
1.0,52.0,14,38.0
1.1,59.0,15,40.5
1.2,67.0,16,39.8
1.8,105.0,17,39.6
1.8,91.0,18,38.8
1.7,69.0,19,34.7
1.7,65.0,20,32.3
1.6,58.0,21,30.7
1.7,67.0,22,29.5
1.8,64.0,23,28.8
1.5,65.0,00,28.2
1.2,47.0,01,27.2
0.8,29.0,02,26.7
0.5,16.0,04,26.4
0.7,50.0,05,25.9
1.1,78.0,06,26.1
1.4,89.0,07,26.8
1.7,97.0,08,27.9
1.8,93.0,09,29.8
1.8,105.0,10,33.6
1.7,89.0,11,35.1
1.3,63.0,12,36.2
1.3,52.0,13,38.0
1.0,48.0,14,36.6
1.0,50.0,15,38.8
1.4,80.0,16,38.7
1.6,78.0,17,37.4
1.4,64.0,18,36.2
1.7,84.0,19,33.8
1.4,72.0,20,31.4
1.5,70.0,21,30.8
1.4,59.0,22,29.4
1.5,63.0,23,28.1
1.6,58.0,00,27.3
1.2,68.0,01,26.7
0.9,57.0,02,25.9
0.7,47.0,05,25.8
0.7,39.0,06,26.5
1.7,87.0,07,26.4
2.2,122.0,08,27.5
1.9,122.0,09,29.4
1.5,101.0,10,33.4
1.6,92.0,11,33.2
1.3,70.0,12,34.5
1.1,58.0,13,37.1
1.0,44.0,14,35.9
1.0,44.0,15,37.3
1.1,52.0,16,38.1
1.3,53.0,17,37.1
1.5,65.0,18,35.2
1.6,67.0,19,32.1
1.5,67.0,20,30.3
1.3,53.0,21,29.3
1.2,53.0,22,28.6
1.6,60.0,23,27.8
1.4,60.0,00,27.4
1.1,39.0,01,27.2
0.7,22.0,02,26.7
0.5,7.0,04,25.4
0.5,25.0,05,26.1
0.8,47.0,06,25.2
1.6,101.0,07,26.0
1.6,100.0,08,27.0
1.4,79.0,09,30.5
1.5,91.0,10,33.4
1.2,83.0,11,35.7
1.1,65.0,12,35.8
0.8,55.0,13,36.3
0.7,40.0,14,33.6
0.7,48.0,15,35.2
0.7,46.0,16,35.0
1.0,54.0,17,34.0
1.0,55.0,18,32.0
1.2,60.0,19,29.4
1.1,62.0,20,28.1
1.0,51.0,21,26.9
1.2,57.0,22,26.6
1.4,72.0,23,25.9
1.3,63.0,00,25.4
1.0,49.0,01,25.1
0.6,30.0,02,25.1
0.4,18.0,04,25.2
0.4,22.0,05,25.6
0.5,39.0,06,24.7
1.1,68.0,07,24.0
1.2,84.0,08,25.0
0.9,54.0,09,28.0
0.9,51.0,10,31.6
1.0,52.0,11,35.0
0.8,44.0,12,35.3
0.8,47.0,13,36.2
0.7,37.0,14,34.8
0.7,33.0,15,38.2
0.7,36.0,16,38.9
0.7,33.0,17,36.9
0.9,40.0,18,35.2
1.2,56.0,19,32.0
1.4,71.0,20,29.8
1.2,57.0,21,28.2
1.0,43.0,22,27.1
0.9,40.0,23,26.7
0.7,26.0,00,26.1
0.5,24.0,01,25.7
0.5,24.0,02,24.8
0.4,18.0,05,22.5
0.4,19.0,06,22.7
0.5,22.0,07,23.0
0.7,34.0,08,23.9
1.1,61.0,09,26.3
1.0,46.0,10,32.1
1.2,56.0,11,35.8
1.1,31.0,12,38.3
0.6,11.0,13,37.3
0.4,8.0,14,36.3
0.4,14.0,15,36.8
0.5,21.0,16,37.9
0.6,26.0,17,36.7
0.8,37.0,18,33.8
1.0,53.0,19,32.6
1.1,56.0,20,30.6
1.1,51.0,21,29.4
1.6,79.0,22,28.4
0.9,38.0,23,28.3
0.7,25.0,00,27.8
0.7,24.0,01,25.3
0.5,11.0,02,24.5
0.3,16.0,04,23.3
0.4,43.0,05,21.5
0.9,86.0,06,21.3
1.3,92.0,07,22.2
1.6,102.0,08,23.6
2.1,171.0,09,27.1
2.0,148.0,10,33.4
1.4,119.0,11,35.3
1.4,71.0,12,37.4
0.9,53.0,13,38.6
0.8,61.0,14,35.8
0.8,53.0,15,38.4
1.0,61.0,16,39.7
1.3,72.0,17,38.8
1.3,67.0,18,35.2
1.3,70.0,19,31.7
1.6,81.0,20,30.4
1.4,79.0,21,29.5
1.3,73.0,22,28.0
1.0,57.0,23,28.2
0.9,45.0,00,26.5
0.6,25.0,01,28.3
0.5,23.0,02,25.7
0.4,18.0,04,24.3
0.4,23.0,05,23.6
1.0,59.0,06,22.2
2.2,135.0,07,22.5
2.5,167.0,08,24.3
2.3,190.0,09,27.3
2.0,142.0,10,33.3
1.4,83.0,16,36.4
1.7,94.0,17,36.8
1.5,84.0,18,36.4
1.7,90.0,19,33.3
1.6,91.0,20,31.3
1.4,70.0,21,29.9
1.4,75.0,22,29.1
1.4,72.0,23,28.0
1.2,59.0,00,27.7
0.9,48.0,01,27.7
0.6,41.0,02,28.3
0.5,11.0,04,27.7
0.5,11.0,05,27.5
0.8,37.0,06,27.1
1.4,72.0,07,27.6
1.2,53.0,08,29.0
1.0,31.0,09,31.0
1.2,47.0,10,32.5
1.1,33.0,11,36.9
1.2,35.0,12,36.2
1.1,32.0,13,37.7
1.0,23.0,14,37.1
1.0,27.0,15,39.5
1.2,32.0,16,39.9
1.7,51.0,17,39.6
1.7,46.0,18,37.2
1.7,62.0,19,33.9
1.7,65.0,20,31.6
2.0,111.0,09,25.3
1.6,86.0,11,32.9
1.3,57.0,12,34.4
1.0,39.0,13,34.3
0.9,41.0,14,33.4
1.0,47.0,15,36.1
1.1,45.0,16,37.3
1.5,60.0,17,36.8
1.5,51.0,18,34.9
1.6,53.0,19,30.8
1.7,72.0,20,28.9
1.4,62.0,21,27.0
1.2,41.0,22,26.6
1.1,32.0,23,26.0
1.1,44.0,00,24.1
1.2,29.0,01,22.2
0.7,18.0,02,22.8
0.4,12.0,04,21.7
0.7,39.0,05,20.2
1.1,83.0,06,20.1
1.6,149.0,07,20.6
2.3,216.0,08,22.4
1.6,153.0,09,25.0
2.0,177.0,10,29.9
1.6,126.0,11,32.9
1.6,96.0,12,35.0
1.3,92.0,13,34.6
1.0,75.0,14,33.8
1.6,109.0,15,36.3
2.0,133.0,16,38.3
1.7,87.0,17,36.9
1.7,80.0,18,33.9
1.4,70.0,19,29.8
1.3,67.0,20,27.5
1.3,66.0,21,27.5
1.6,97.0,22,28.1
1.8,90.0,23,26.9
1.5,99.0,00,26.0
1.3,71.0,01,24.9
1.1,59.0,02,23.7
0.6,26.0,04,22.9
0.7,47.0,05,23.3
1.1,108.0,06,23.6
1.9,160.0,07,24.9
3.5,204.0,08,26.4
2.9,193.0,09,28.1
2.2,146.0,10,30.2
2.0,126.0,11,31.2
1.7,90.0,12,33.9
1.6,84.0,13,33.9
1.3,60.0,14,34.4
1.3,66.0,15,35.3
1.3,57.0,16,36.3
1.6,71.0,17,35.3
1.3,51.0,18,32.5
1.4,49.0,19,29.1
1.4,59.0,20,27.8
1.3,66.0,21,27.0
1.4,72.0,22,26.3
1.5,89.0,23,25.2
1.5,75.0,00,24.3
0.9,38.0,01,23.3
0.6,24.0,02,24.1
0.5,40.0,05,23.7
0.6,40.0,04,20.0
0.4,25.0,05,22.5
0.5,38.0,06,19.5
0.7,38.0,07,19.6
1.2,75.0,08,20.7
1.7,104.0,09,24.7
1.8,134.0,10,29.9
